m_clock,x,y,z,q_x,q_y,q_z,q_w,rf_s,rr_s,fl_s,rl_s,lr_d,rr_d,fl_d,fr_d,rm_d,lm_d,lb_rot,rb_rot,ld_rot,rd_rot,slip,slow_slip,wrf_x,wrf_y,wrf_z,wrc_x,wrc_y,wrc_z,wrb_x,wrb_y,wrb_z,wlf_x,wlf_y,wlf_z,wlc_x,wlc_y,wlc_z,wlb_x,wlb_y,wlb_z
781814981.000014, -195.136847, -260.898306, -86.300985, 0.152320, 0.103110, -0.699844, 0.690206, -0.172743, 0.156977, -0.248675, 0.226305, 107.106203, 107.243386, 107.918944, 107.533549, 108.141968, 105.954076, -0.024048, 0.014235, -0.034287, -0.050000, 0.361878, nan, -1.942367, -25.052654, -354.076233, -66.016968, 40.319077, -670.121765, 19.931831, 167.760803, -811.930542, -92.921066, 6.604409, -644.825195, -23.786095, 99.115425, -334.352386, 167.601410, -250.498230, -948.083618
781814982.000031, -195.135664, -260.920843, -86.311130, 0.152421, 0.103401, -0.701572, 0.688384, -0.172743, 0.156977, -0.248675, 0.226305, 107.273787, 107.412694, 108.034900, 107.648826, 108.312488, 106.063889, -0.016621, 0.016893, -0.034413, -0.050000, 0.556664, nan, 5.451931, -10.445642, -339.731873, -20.581686, -26.156822, -587.025391, 19.879570, 109.877243, -961.276245, -56.680283, -36.208614, -639.111206, -17.104828, 116.562088, -350.889343, 84.350601, -173.226761, -930.616028
781814983.000047, -195.134793, -260.947147, -86.319641, 0.154095, 0.104546, -0.703130, 0.686246, -0.172743, 0.156977, -0.248675, 0.226305, 107.441084, 107.579829, 108.151359, 107.764828, 108.480527, 106.174068, -0.009496, 0.009623, -0.038620, -0.050000, 0.323035, nan, -12.084821, 8.766982, -338.532532, -0.433857, -11.890152, -591.229614, 23.167248, 52.839432, -977.182983, -21.637011, -63.489410, -659.198730, 3.314551, 121.434967, -377.474579, 30.925711, -117.800362, -912.742859
781814984.000064, -195.132845, -260.962562, -86.324246, 0.151687, 0.101045, -0.705187, 0.685196, -0.172743, 0.156977, -0.248675, 0.226305, 107.608268, 107.746945, 108.268049, 107.880901, 108.648454, 106.284147, -0.002391, 0.024359, -0.033043, -0.050000, 0.489285, nan, -23.635466, -19.621067, -434.529327, -3.441128, -70.718719, -618.169922, 13.850982, 191.281967, -850.929321, -81.831818, -70.847893, -667.686157, -0.417602, 79.541061, -379.283783, 33.860458, -70.832436, -870.129272
781814985.000081, -195.130720, -260.981252, -86.328863, 0.152266, 0.100686, -0.705426, 0.684873, -0.172743, 0.156977, -0.248675, 0.226305, 107.775462, 107.914073, 108.384259, 107.997039, 108.816525, 106.394269, 0.003631, 0.028639, -0.036473, -0.050000, 0.265091, nan, -74.415634, -39.280582, -307.528137, -23.714714, 99.520737, -679.205933, 35.672653, 183.954437, -832.171875, -95.893288, -141.476013, -622.416748, -16.948740, 67.479210, -341.678131, 131.927490, -114.691589, -914.911072
781814986.000098, -195.128875, -261.007737, -86.334349, 0.154579, 0.101406, -0.705784, 0.683879, -0.172743, 0.156977, -0.248675, 0.226305, 107.942706, 108.081279, 108.500719, 108.113156, 108.984528, 106.504347, 0.008894, 0.021792, -0.044508, -0.050000, 0.454523, 0.368578, -77.148621, -30.360575, -324.418549, 26.176445, 74.112450, -690.121216, 24.082262, 136.835876, -783.217346, -154.243988, -176.647430, -634.443237, -27.593885, 74.770248, -366.333466, 154.052643, -97.237732, -924.448853
781814987.000115, -195.127406, -261.031855, -86.337962, 0.157137, 0.101520, -0.706184, 0.682865, -0.172743, 0.156977, -0.248675, 0.226305, 108.109930, 108.248268, 108.617041, 108.229163, 109.152583, 106.614394, 0.012162, 0.014021, -0.049834, -0.050000, 0.456731, nan, -44.192474, 16.215313, -356.201477, 6.351963, 115.445114, -668.505005, 79.740242, 98.094376, -806.508423, -177.915955, -164.718964, -644.523193, -1.764651, 54.487465, -370.560028, 139.443817, -108.351799, -923.040894
781814988.000132, -195.126262, -261.051348, -86.337041, 0.158259, 0.101922, -0.707231, 0.681462, -0.172743, 0.156977, -0.248675, 0.226305, 108.277116, 108.415450, 108.733430, 108.345280, 109.320517, 106.724585, 0.009332, 0.012569, -0.050000, -0.050000, 0.507428, nan, -41.008850, -50.519455, -384.569946, 12.410205, 65.583115, -661.292236, 24.180450, 111.978767, -866.623352, -97.409927, -84.715225, -573.490051, 12.646154, 10.205274, -408.257294, 89.760147, -81.510620, -920.818604
781814989.000149, -195.125320, -261.070552, -86.339103, 0.158123, 0.101065, -0.707909, 0.680918, -0.172743, 0.156977, -0.248675, 0.226305, 108.444302, 108.582445, 108.850099, 108.461269, 109.488560, 106.834679, 0.008842, 0.014823, -0.049308, -0.050000, 0.492501, nan, -59.906082, -1.203995, -423.028656, -31.321840, 77.999817, -640.591675, 49.880791, 108.470253, -774.282715, -103.462494, -42.685654, -633.540649, 15.156414, 17.671429, -363.216095, 135.079086, -146.663498, -910.761047
781814990.000166, -195.124078, -261.085433, -86.337853, 0.159681, 0.100102, -0.707871, 0.680735, -0.172743, 0.156977, -0.248675, 0.226305, 108.611503, 108.749654, 108.966328, 108.577436, 109.656540, 106.944823, 0.010636, 0.019856, -0.049441, -0.050000, 0.500404, nan, -84.602921, -82.154984, -364.056641, -18.022877, 89.716377, -679.925537, 69.652023, 196.839844, -838.080322, -114.593506, -67.859245, -611.539124, -8.488092, 3.924305, -342.816803, 119.327499, -165.570038, -964.782654
