#sclk0_0,sclk1_0,fast_slip_frac
808084797.241608,808084899.53672,0.0
808084899.53672,808084941.511707,0.0
808084941.511707,808084973.785967,0.255
808084973.785967,808085005.942279,nan
808085005.942279,808085070.054826,nan
808085070.054826,808085094.604776,nan
808085094.604776,808085112.262634,nan
808085112.262634,808085168.994778,0.214
808085168.994778,808085191.729751,0.115
808085191.729751,808085214.301596,0.111
808085214.301596,808085236.932859,0.164
808085236.932859,808085261.162851,0.112
808085261.162851,808085302.370957,0.227
808085302.370957,808085337.511113,0.194
808085337.511113,808085366.182552,nan
808085366.182552,808085423.804854,nan
808085423.804854,808085441.62031,nan
808085441.62031,808085460.299906,nan
808085460.299906,808085517.012857,0.218
808085517.012857,808085539.653593,0.124
808085539.653593,808085562.289572,0.174
808085562.289572,808085584.94596,0.275
808085584.94596,808085607.604735,0.188
808085607.604735,808085630.241114,0.19
808085630.241114,808085654.399284,0.17
808085654.399284,808085702.258343,0.191
808085702.258343,808085738.371594,0.34
808085738.371594,808085768.052466,nan
808085768.052466,808085810.244546,0.334
808085810.244546,808085832.863946,0.47
808085832.863946,808085857.036435,0.604
808085857.036435,808085898.318645,0.634
808085898.318645,808085925.633164,0.964
808085925.633164,808086045.511688,0.954
NaN,NaN,NaN
