SCLK,SCLK_REL,ROVER_X [METERS],ROVER_Y [METERS],ROVER_Z [METERS],QUAT_X,QUAT_Y,QUAT_Z,QUAT_C,LF_DRIVE,LM_DRIVE,LR_DRIVE,RF_DRIVE,RM_DRIVE,RR_DRIVE,LF_STEER [RADIANS],LR_STEER [RADIANS],RF_STEER [RADIANS],RR_STEER [RADIANS],SLIP,LM_DRIVE_ANG_VEL,RM_DRIVE_ANG_VEL,LEFT_DIFFERENTIAL,RIGHT_DIFFERENTIAL
808084865.33281,0.0,0.0,0.0,0.0,-0.052027,0.16676,0.776114,0.605913,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.949,-0.903,0.379,-0.346,0.0,0.0,0.0,-0.003,-0.008
808084874.597277,9.264467000961304,0.0,0.0,0.0,-0.052027,0.166758,0.776097,0.605936,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,0.0,0.0,-0.0041622884796417015,-0.011364821744675272
808084874.722313,9.389503002166748,0.0,0.0,0.0,-0.052026,0.166757,0.776098,0.605935,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,0.0,0.0,-0.003841693745926,-0.0097392834722995
808084874.847296,9.514485955238342,0.0,0.0,0.0,-0.05203,0.166757,0.776095,0.605938,-9.880418623796767e-05,-2.1172326311039956e-05,7.05744194300238e-05,6.351697893313642e-05,-4.234465262207991e-05,-8.468930524417639e-05,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.00016940171271926795,-0.0003388034254385359,-0.003841693745926,-0.0097392834722995
808084874.97234,9.639529943466187,-6e-06,1.1e-05,-3e-06,-0.052034,0.166754,0.776096,0.605937,-0.0006884897609527532,-0.00022684584603175335,0.00033416409699166337,0.00028448109024644205,-0.000312242964656898,-0.0006103410585054731,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.001644809339781718,-0.002158426933272737,-0.003841693745926,-0.0097392834722995
808084875.097346,9.764535903930664,-1.3e-05,2.3e-05,-6e-06,-0.052034,0.166753,0.776095,0.605939,-0.001426389854625774,-0.0010073585355155168,-0.0003966615439427837,-0.0004960316283991139,-0.0011908034643668978,-0.0013342580150587848,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.006243803788104637,-0.007028148869426566,-0.003841693745926,-0.0097392834722995
808084875.222334,9.889523983001709,-9.6e-05,0.000178,-4.9e-05,-0.052041,0.166763,0.776092,0.60594,-0.003102184599925708,-0.002619703829558715,-0.0023904404970150526,-0.0020871656946295455,-0.00538487589035916,-0.0032915804324673416,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.012899992591507219,-0.033555779536449185,-0.003841693745926,-0.0097392834722995
808084875.347326,10.014515995979309,-0.000317,0.000588,-0.000159,-0.052112,0.166795,0.776036,0.605997,-0.004770065330264296,-0.004211489625545897,-0.00676742114357996,-0.00371011849006096,-0.011891817658155415,-0.008403067867843988,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.012735100092135063,-0.05205886050464975,-0.003841693745926,-0.0097392834722995
808084875.472353,10.139542937278748,-0.000633,0.001178,-0.000318,-0.05212,0.166723,0.775948,0.606129,-0.006615805628693486,-0.008781420065622183,-0.012823692640210913,-0.009142788271121832,-0.014017983611417095,-0.013392679736629208,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03655156554723146,-0.01700566238895288,-0.003841693745926,-0.0097392834722995
808084875.597314,10.264503955841064,-0.001133,0.002107,-0.00057,-0.0521,0.166726,0.775882,0.606214,-0.012610859240656814,-0.014525853334754684,-0.01712234989321707,-0.017204134546501458,-0.016314352925081526,-0.016306601361021508,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.04596980190480607,-0.018376685306220136,-0.003841693745926,-0.0097392834722995
808084875.722343,10.389532923698425,-0.001704,0.003171,-0.000857,-0.052173,0.166863,0.775803,0.606271,-0.022640812878613272,-0.019363364367190838,-0.025269030288509152,-0.029738385703712532,-0.023399540292107432,-0.024137557281598214,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03869112186829394,-0.05666836644695839,-0.003841693745926,-0.009674613595912195
808084875.847322,10.514511942863464,-0.002577,0.004795,-0.001297,-0.052478,0.16704,0.775525,0.606552,-0.032674228197404155,-0.02409234589304525,-0.03447864293457306,-0.04681906740717777,-0.036006452058735726,-0.03764600377238018,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03783820322361172,-0.10087222520109905,-0.003841693745926,-0.0093497112393379
808084875.972363,10.63955295085907,-0.003613,0.006729,-0.001823,-0.052635,0.167056,0.775118,0.607053,-0.042364306340246495,-0.028816591248450096,-0.04350088770038943,-0.06739936162476565,-0.05308259530030307,-0.0557526437223074,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03778156807221898,-0.13656434409235954,-0.003841693745926,-0.0093497112393379
808084876.097345,10.764534950256348,-0.004758,0.008875,-0.002407,-0.052751,0.167038,0.774676,0.607612,-0.051900625260898836,-0.03348893158222663,-0.05243367224518985,-0.08837489713223334,-0.07333369595279036,-0.0764156361403749,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03738410616175738,-0.16203213862914384,-0.003841693745926,-0.009220359009328907
808084876.222321,10.889510989189148,-0.005953,0.011123,-0.00302,-0.053007,0.167081,0.774072,0.608348,-0.06139389551678672,-0.03809705643174509,-0.061294972264306545,-0.10942048709625851,-0.09385392134149126,-0.0972766875772492,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03687206674870095,-0.16419327707877374,-0.003969103247598106,-0.008441364750393726
808084876.347331,11.01452100276947,-0.007143,0.013373,-0.003636,-0.053225,0.167139,0.77364,0.608862,-0.07086127027858423,-0.04274198260905131,-0.07015161505744058,-0.13045765600230652,-0.11432277888849282,-0.11807938212329812,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03715643286704973,-0.16373774356763648,-0.004737493542779444,-0.0077914237044751
808084876.472359,11.139548897743225,-0.008327,0.015623,-0.004253,-0.053338,0.167115,0.773197,0.609421,-0.08035847080418533,-0.047387572576269535,-0.07897397436795464,-0.15144090338344532,-0.13485150492590486,-0.13891352259599898,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03715642791709324,-0.16419316698662575,-0.0053783510811626,-0.007661984460351984
808084876.597323,11.26451289653778,-0.009504,0.017869,-0.004869,-0.053451,0.166952,0.772817,0.609938,-0.0898223667830677,-0.05203078590187001,-0.08779181998853854,-0.17249152735541878,-0.15529869230516619,-0.15970149570478034,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.037156408008630154,-0.16362462450387072,-0.005442061713188646,-0.006947672244031316
808084876.722349,11.389539003372192,-0.010678,0.020117,-0.005486,-0.053606,0.167027,0.772583,0.6102,-0.09931235810643098,-0.05667631004709142,-0.09662112976789669,-0.19357401779394934,-0.17577018294727503,-0.18050688471939222,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03715643286704978,-0.16373772774690898,-0.0058263064561744965,-0.0066227074712514
808084876.847313,11.514503002166748,-0.011849,0.022362,-0.006104,-0.053578,0.167059,0.772271,0.610588,-0.1087407100370825,-0.06131952586158457,-0.10546745169315122,-0.21458204577254483,-0.196302567994536,-0.20133744797693964,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03715642792550776,-0.1643064022064209,-0.006210360244334105,-0.006493554301232689
808084876.972373,11.639562964439392,-0.01302,0.024616,-0.006724,-0.053675,0.166953,0.77197,0.610989,-0.11824742577371686,-0.0659663054656505,-0.11425652206041544,-0.23562759728332586,-0.21684363564139622,-0.22218402006436117,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.037156412968808124,-0.16424975086813565,-0.006658573153822846,-0.0058435634709894
808084877.097344,11.764533996582031,-0.014186,0.026868,-0.007343,-0.053666,0.166759,0.771685,0.611404,-0.12775445622345666,-0.07060271201824263,-0.12308194265313685,-0.2566083726778174,-0.2373274964038074,-0.2430228406201138,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.037099850046051014,-0.16390887080960778,-0.0073629485594883335,-0.005714217108069013
808084877.222322,11.889511942863464,-0.015348,0.029118,-0.007962,-0.054042,0.166935,0.771177,0.611962,-0.1372904797121634,-0.07521090679513513,-0.13193630985617225,-0.2776686226881679,-0.25778403335476696,-0.2638912687320385,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03687206354403908,-0.1636811738360163,-0.007747044901516429,-0.004999815059968556
808084877.347332,12.014521956443787,-0.016507,0.031373,-0.008585,-0.05423,0.167033,0.770641,0.612594,-0.14679339848603942,-0.07985582924685271,-0.140757413616086,-0.2986133028196036,-0.2782884290239167,-0.28472950478362685,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.037156403064728005,-0.1640220257713605,-0.00819497866082657,-0.004674847703427
808084877.472368,12.139557957649231,-0.017659,0.033625,-0.009208,-0.054169,0.167128,0.770292,0.613013,-0.15629829276798546,-0.08450171854354946,-0.1495874218200015,-0.319654822772577,-0.29883264452826097,-0.3055650095831197,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03715641296831923,-0.1643064022064209,-0.0088358307257294,-0.004610099806782774
808084877.597317,12.264506936073303,-0.018809,0.03588,-0.009832,-0.054403,0.167355,0.769895,0.613428,-0.16581070076995275,-0.08917263850287319,-0.15841148262825291,-0.34060361384240423,-0.319362561632488,-0.32635753731483413,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03738261823534719,-0.1643064022064209,-0.00928167668956086,-0.004220686625137284
