m_clock,x,y,z,q_x,q_y,q_z,q_w,rf_s,rr_s,fl_s,rl_s,lr_d,rr_d,fl_d,fr_d,rm_d,lm_d,lb_rot,rb_rot,ld_rot,rd_rot,slip,slow_slip,wrf_x,wrf_y,wrf_z,wrc_x,wrc_y,wrc_z,wrb_x,wrb_y,wrb_z,wlf_x,wlf_y,wlf_z,wlc_x,wlc_y,wlc_z,wlb_x,wlb_y,wlb_z
0.000000, -0.197659, 0.049841, 0.139889, -0.001427, 0.027243, 0.029913, 0.999180, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.020424, 0.024632, -0.050000, -0.049636, 0.763336, nan, 138.946487, -63.834900, -572.323120, 91.062630, -11.629358, -184.096771, 627.038025, 29.217915, -882.221924, 108.847519, -33.584030, -195.181046, 110.562134, -8.559351, -245.864700, 791.586182, 29.504017, -1264.867798
1.000200, -0.183956, 0.051975, 0.140579, -0.001713, 0.027170, 0.030298, 0.999170, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.020202, 0.025728, -0.050000, -0.050000, 0.716638, nan, 166.881607, -23.212410, -411.412476, 27.796417, 4.147580, -89.893158, 643.262817, 18.424362, -995.052185, 204.480545, -13.490232, -479.073364, 49.501839, -6.122159, -129.654373, 642.260376, 5.384685, -894.270020
2.000100, -0.175646, 0.053888, 0.140373, -0.001553, 0.027115, 0.030707, 0.999159, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.023709, 0.027215, -0.050000, -0.050000, 0.866517, nan, 269.335022, 21.617697, -495.557709, 82.068520, -1.951378, -192.797134, 600.628357, 9.943550, -1137.930176, 132.497086, 0.331564, -216.564575, 171.952362, -8.209372, -305.627167, 710.972656, 45.314251, -1091.775024
3.000000, -0.173900, 0.056242, 0.142147, -0.001252, 0.028166, 0.031165, 0.999117, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.028784, 0.034286, -0.050000, -0.050000, -0.298186, nan, 263.603729, 10.629029, -335.800873, 113.541153, 2.769960, -224.814728, 611.492004, -54.259377, -1171.610718, 182.697403, 11.461606, -218.328705, 225.694611, -36.121235, -423.243500, 416.584290, -46.208008, -1297.835205
4.000200, -0.177384, 0.056460, 0.146009, -0.001108, 0.028857, 0.030935, 0.999104, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.035302, 0.039713, -0.050000, -0.050000, 0.885403, -0.640655, 230.903625, -3.202485, -423.973938, 125.275314, 7.511761, -194.351715, 654.016418, 20.257378, -1024.671631, 182.655823, 8.410578, -388.147675, 110.090279, -6.430466, -226.777695, 598.051575, -58.320774, -1024.937012
5.000100, -0.175212, 0.057644, 0.147843, -0.001465, 0.028980, 0.030795, 0.999104, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.036788, 0.042207, -0.050000, -0.050000, 0.945043, nan, 194.818924, -14.395114, -328.873352, 99.803551, 16.499315, -195.033554, 625.093323, 9.809751, -943.659790, 155.114227, 5.407168, -329.001923, 145.234558, 6.416189, -202.789291, 684.205444, -26.005617, -1191.401001
6.000000, -0.171666, 0.058647, 0.148540, -0.000967, 0.029140, 0.031211, 0.999087, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.040458, 0.044229, -0.050000, -0.050000, 0.826777, nan, 250.100708, 24.358513, -494.992310, 100.802155, -2.917473, -211.345825, 675.889160, 32.749985, -1069.008301, 217.664551, 3.120941, -292.324951, 121.073395, -1.401382, -203.535095, 732.680298, -1.786981, -1335.044556
7.000200, -0.169591, 0.059540, 0.149259, -0.000805, 0.029276, 0.030935, 0.999092, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.042002, 0.046782, -0.050000, -0.050000, 0.939248, nan, 169.570404, 7.776824, -250.955460, 101.712173, -6.526864, -218.872147, 753.644958, 3.755306, -1408.018921, 191.649612, -0.018140, -397.356720, 124.920784, 1.979721, -189.097794, 716.076172, -38.016911, -1203.612305
8.000100, -0.168321, 0.060701, 0.151102, -0.001200, 0.029273, 0.030558, 0.999104, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.040742, 0.048649, -0.050000, -0.050000, 0.918504, 0.938528, 247.934082, 30.886353, -304.674652, 96.611298, 1.990179, -183.388611, 709.580811, -12.234021, -1039.233887, 208.913605, 42.574661, -399.314606, 146.774536, 3.390126, -217.711441, 616.584595, 4.547052, -1125.508179
9.000000, -0.165951, 0.061476, 0.152084, -0.001674, 0.029570, 0.030211, 0.999105, -0.000000, -0.000000, -0.000000, -0.000000, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.152091, 0.038725, 0.050098, -0.050000, -0.050000, 0.911488, nan, 214.916824, 8.000372, -385.403625, 124.577957, 7.353828, -175.233124, 572.394714, 39.154533, -993.819763, 248.893509, 0.445295, -431.066467, 107.681236, 9.974811, -187.912628, 649.486633, -16.130558, -1121.015869
