#sclk0_0,sclk1_0,fast_slip_frac
781813228.992,781813307.724793,0.0
781813307.724793,781813345.163118,0.0
781813345.163118,781813367.912187,0.187
781813367.912187,781813396.669237,0.181
781813396.669237,781813413.930858,0.181
781813413.930858,781813477.151579,0.272
781813477.151579,781813499.805472,0.153
781813499.805472,781813522.539028,0.153
781813522.539028,781813546.683659,0.148
781813546.683659,781813571.03861,0.096
781813571.03861,781813610.542211,0.126
781813610.542211,781813645.785846,0.156
781813645.785846,781813664.022577,0.156
781813664.022577,781813746.925331,0.166
781813746.925331,781813804.80866,0.199
781813804.80866,781813848.773068,0.215
781813848.773068,781813889.997074,0.215
781813889.997074,781813951.929415,0.236
781813951.929415,781813978.756646,0.222
781813978.756646,781813995.192142,0.222
781813995.192142,781814058.411752,0.216
781814058.411752,781814081.027006,0.11
781814081.027006,781814104.036045,0.185
781814104.036045,781814128.243018,0.224
781814128.243018,781814153.538132,0.227
781814153.538132,781814176.762944,0.283
781814176.762944,781814215.382219,0.367
781814215.382219,781814251.81956,0.387
781814251.81956,781814271.152393,0.387
781814271.152393,781814367.847199,0.381
781814367.847199,781814426.79997,0.51
781814426.79997,781814489.885202,0.384
781814489.885202,781814543.757324,0.493
781814543.757324,781814582.974482,0.493
781814582.974482,781814648.739253,0.53
781814648.739253,781814675.273019,0.53
781814675.273019,781814738.416513,0.741
781814738.416513,781814761.039785,0.797
781814761.039785,781814785.054159,0.827
781814785.054159,781814808.496356,0.852
781814808.496356,781814833.700129,0.817
781814833.700129,781814857.731542,0.814
781814857.731542,781814881.539131,0.798
781814881.539131,781814928.902957,0.853
781814928.902957,781814967.101193,0.819
781814967.101193,781815008.620791,0.82
781815008.620791,781815035.991489,0.854
781815035.991489,781815066.699074,0.85
781815066.699074,781815096.945547,0.837
781815096.945547,781815124.402513,0.851
781815124.402513,781815151.851518,0.856
781815151.851518,781815186.075313,0.872
NaN,NaN,NaN
781815186.075313,781815326.808189,0.829
NaN,NaN,NaN
