#sclk0_0,sclk1_0,fast_slip_frac
806936857.44444,806936879.177998,0.0
806936879.177998,806936992.944156,0.0
806936992.944156,806937036.949192,0.052
806937036.949192,806937064.367044,0.064
806937064.367044,806937092.884076,0.068
806937092.884076,806937122.011084,0.07
806937122.011084,806937151.668173,0.067
806937151.668173,806937179.78906,0.05
806937179.78906,806937207.415278,0.042
806937207.415278,806937248.069856,0.025
806937248.069856,806937276.194688,0.035
806937276.194688,806937304.569744,0.057
806937304.569744,806937332.528484,0.039
806937332.528484,806937364.652655,0.047
806937364.652655,806937398.16102,0.049
806937398.16102,806937430.397082,0.079
806937430.397082,806937464.28968,0.077
806937464.28968,806937520.320248,0.054
806937520.320248,806937548.49613,0.047
806937548.49613,806937576.526174,0.037
806937576.526174,806937604.667963,0.039
806937604.667963,806937637.898047,0.072
806937637.898047,806937671.277908,0.074
806937671.277908,806937706.612774,0.046
806937706.612774,806937740.621025,0.05
806937740.621025,806937795.918668,0.042
806937795.918668,806937824.304318,0.035
806937824.304318,806937856.130467,0.048
806937856.130467,806937918.066055,0.048
806937918.066055,806937948.823008,0.053
806937948.823008,806937976.067659,0.064
806937976.067659,806938004.274375,0.041
806938004.274375,806938033.286716,0.053
806938033.286716,806938069.163038,0.042
806938069.163038,806938097.305648,0.058
806938097.305648,806938125.414543,0.04
806938125.414543,806938166.13234,0.039
806938166.13234,806938194.149633,0.06
806938194.149633,806938222.367633,0.067
806938222.367633,806938250.496768,0.063
806938250.496768,806938283.537709,0.051
806938283.537709,806938335.167604,0.067
806938335.167604,806938368.178237,0.061
806938368.178237,806938400.39807,0.059
806938400.39807,806938455.694795,0.057
806938455.694795,806938486.177605,0.077
806938486.177605,806938514.053206,0.059
806938514.053206,806938546.551901,0.07
806938546.551901,806938579.323239,0.047
806938579.323239,806938613.069743,0.067
806938613.069743,806938645.539059,0.06
806938645.539059,806938678.148131,0.047
806938678.148131,806938736.115027,0.055
806938736.115027,806938764.414968,0.055
806938764.414968,806938792.274047,0.057
806938792.274047,806938825.309267,0.052
806938825.309267,806938859.229047,0.06
806938859.229047,806938893.496504,0.065
806938893.496504,806938927.662273,0.05
806938927.662273,806938961.273862,0.032
806938961.273862,806939016.886847,0.031
806939016.886847,806939045.009016,0.043
806939045.009016,806939073.050739,0.041
806939073.050739,806939102.012608,0.049
806939102.012608,806939146.133194,0.042
806939146.133194,806939173.066613,0.049
806939173.066613,806939202.177071,0.043
806939202.177071,806939235.192208,0.024
806939235.192208,806939289.648455,0.055
806939289.648455,806939317.771875,0.048
806939317.771875,806939345.928662,0.044
806939345.928662,806939376.230645,0.028
806939376.230645,806939408.882023,0.04
806939408.882023,806939442.022397,0.03
806939442.022397,806939474.448817,0.046
806939474.448817,806939508.493444,0.045
806939508.493444,806939566.636162,0.056
806939566.636162,806939594.926326,0.045
806939594.926326,806939625.027939,0.054
806939625.027939,806939659.071375,0.064
806939659.071375,806939695.569639,0.076
806939695.569639,806939728.538845,0.035
806939728.538845,806939761.511849,0.047
806939761.511849,806939795.414965,0.033
806939795.414965,806939850.366243,0.061
806939850.366243,806939878.397054,0.049
806939878.397054,806939906.660013,0.051
806939906.660013,806939935.636859,0.048
806939935.636859,806939969.03587,0.066
806939969.03587,806940002.663126,0.06
806940002.663126,806940035.023911,0.05
806940035.023911,806940074.552437,0.06
806940074.552437,806940127.851478,0.067
806940127.851478,806940155.930537,0.069
806940155.930537,806940184.058126,0.074
806940184.058126,806940224.864529,0.066
806940224.864529,806940252.989206,0.033
806940252.989206,806940281.15949,0.038
806940281.15949,806940318.442768,0.032
806940318.442768,806940351.88154,0.058
806940351.88154,806940408.137827,0.044
806940408.137827,806940436.286368,0.052
806940436.286368,806940483.30278,0.032
806940483.30278,806940512.824354,0.042
806940512.824354,806940546.856148,0.034
806940546.856148,806940579.737763,0.037
806940579.737763,806940611.919196,0.032
806940611.919196,806940645.601317,0.051
806940645.601317,806940720.64825,0.038
806940720.64825,806940748.677554,0.031
806940748.677554,806940776.776867,0.029
806940776.776867,806940806.911065,0.038
806940806.911065,806940839.791571,0.059
806940839.791571,806940873.569893,0.05
806940873.569893,806940906.180254,0.045
806940906.180254,806940958.285414,0.043
806940958.285414,806941014.573146,0.088
806941014.573146,806941042.618002,0.039
806941042.618002,806941070.757593,0.045
806941070.757593,806941099.677199,0.055
806941099.677199,806941140.231053,0.036
806941140.231053,806941173.318774,0.029
806941173.318774,806941226.601485,0.044
806941226.601485,806941258.272442,0.033
806941258.272442,806941315.114284,0.029
806941315.114284,806941343.149558,0.034
806941343.149558,806941378.524618,0.014
806941378.524618,806941406.635282,0.022
806941406.635282,806941454.289195,0.022
806941454.289195,806941488.02087,0.019
806941488.02087,806941521.881276,0.025
806941521.881276,806941556.990919,0.034
806941556.990919,806941614.761344,0.041
806941614.761344,806941642.822909,0.045
806941642.822909,806941690.804291,0.046
806941690.804291,806941723.746642,0.043
806941723.746642,806941756.179025,0.043
806941756.179025,806941818.317392,0.043
806941818.317392,806941854.385449,0.053
806941854.385449,806941892.569876,0.073
806941892.569876,806941943.069951,0.045
806941943.069951,806941974.506675,0.075
806941974.506675,806942003.069682,0.072
806942003.069682,806942035.302862,0.092
806942035.302862,806942067.152779,0.037
806942067.152779,806942109.664501,0.04
806942109.664501,806942137.934244,0.026
806942137.934244,806942187.320511,0.07
806942187.320511,806942216.230093,0.053
806942216.230093,806942245.558814,0.044
806942245.558814,806942275.61517,0.039
806942275.61517,806942310.151818,0.054
806942310.151818,806942343.621831,0.075
806942343.621831,806942419.633849,0.064
806942419.633849,806942447.817331,0.069
806942447.817331,806942478.648419,0.085
806942478.648419,806942512.37028,0.067
806942512.37028,806942545.273616,0.02
806942545.273616,806942580.44794,0.046
806942580.44794,806942623.900689,0.047
806942623.900689,806942671.03899,0.03
806942671.03899,806942730.652537,0.034
806942730.652537,806942758.605606,0.067
806942758.605606,806942787.700362,0.053
806942787.700362,806942816.856069,0.025
806942816.856069,806942856.679276,0.053
806942856.679276,806942910.450344,0.082
806942910.450344,806942942.991297,0.062
806942942.991297,806942976.552113,0.058
806942976.552113,806943032.912489,0.074
806943032.912489,806943061.153576,0.062
806943061.153576,806943089.927283,0.073
806943089.927283,806943139.043404,0.053
806943139.043404,806943171.76229,0.052
806943171.76229,806943206.26118,0.053
806943206.26118,806943240.104309,0.038
806943240.104309,806943273.428221,0.053
806943273.428221,806943331.037325,0.029
806943331.037325,806943378.664787,0.061
806943378.664787,806943407.62109,0.03
806943407.62109,806943443.730307,0.04
806943443.730307,806943477.035722,0.064
806943477.035722,806943510.666827,0.043
806943510.666827,806943547.865691,0.058
806943547.865691,806943578.694593,0.079
806943578.694593,806943653.620314,0.091
806943653.620314,806943680.102601,0.045
806943680.102601,806943715.242937,0.068
806943715.242937,806943749.177237,0.103
806943749.177237,806943785.805392,0.076
806943785.805392,806943827.760243,0.058
806943827.760243,806943875.661243,0.078
806943875.661243,806943904.552993,0.073
806943904.552993,806943959.78767,0.029
806943959.78767,806943988.038518,0.091
806943988.038518,806944016.527961,0.045
806944016.527961,806944046.133466,0.085
806944046.133466,806944099.258244,0.085
806944099.258244,806944132.740655,0.126
806944132.740655,806944166.449561,0.119
806944166.449561,806944199.862625,0.087
806944199.862625,806944258.198696,0.18
806944258.198696,806944286.308753,0.102
806944286.308753,806944334.355918,0.098
806944334.355918,806944364.292956,0.138
806944364.292956,806944398.277006,0.1
806944398.277006,806944431.778094,0.079
806944431.778094,806944465.553233,0.119
806944465.553233,806944498.773569,0.138
806944498.773569,806944580.649568,0.1
806944580.649568,806944608.817126,0.166
806944608.817126,806944637.667348,0.123
806944637.667348,806944668.445517,0.127
806944668.445517,806944702.364079,0.127
806944702.364079,806944734.042576,0.215
806944734.042576,806944769.180654,0.209
806944769.180654,806944822.636375,0.146
806944822.636375,806944875.886379,0.155
806944875.886379,806944902.775591,0.121
806944902.775591,806944933.901914,0.163
806944933.901914,806944968.417973,0.172
806944968.417973,806945015.427632,0.131
806945015.427632,806945062.148956,0.108
806945062.148956,806945091.321341,0.107
806945091.321341,806945125.558498,0.183
806945125.558498,806945183.32425,0.136
806945183.32425,806945212.402945,0.067
806945212.402945,806945242.928023,0.122
806945242.928023,806945275.227471,0.045
806945275.227471,806945330.944933,0.089
806945330.944933,806945363.914722,0.071
806945363.914722,806945398.558076,0.087
806945398.558076,806945439.068466,0.05
806945439.068466,806945493.055413,0.075
806945493.055413,806945540.131423,0.07
806945540.131423,806945602.351216,0.07
806945602.351216,806945633.167984,0.09
806945633.167984,806945661.133019,0.15
806945661.133019,806945690.944466,0.101
806945690.944466,806945719.852218,0.15
806945719.852218,806945748.89722,0.12
806945748.89722,806945799.934293,0.101
806945799.934293,806945829.055455,0.133
806945829.055455,806945871.542814,0.148
806945871.542814,806945899.695524,0.1
806945899.695524,806945931.13271,0.092
806945931.13271,806945962.617483,0.149
806945962.617483,806945996.785211,0.098
806945996.785211,806946052.567072,0.102
806946052.567072,806946083.933534,0.089
806946083.933534,806946118.245782,0.093
806946118.245782,806946174.402515,0.086
806946174.402515,806946202.524441,0.065
806946202.524441,806946238.192888,0.073
806946238.192888,806946286.372062,0.073
806946286.372062,806946314.902168,0.075
806946314.902168,806946355.553549,0.127
806946355.553549,806946388.551901,0.188
806946388.551901,806946421.761149,0.159
806946421.761149,806946478.992302,0.128
806946478.992302,806946526.274192,0.12
NaN,NaN,NaN
806946526.274192,806946568.148682,0.151
NaN,NaN,NaN
NaN,NaN,NaN
